feature,coefficient,abs_coefficient,importance_norm,rank
spatial_cluster_closed_rate,-3.961773773672489,3.961773773672489,0.07916176697257339,1
category_closure_risk,-2.878605175430595,2.878605175430595,0.057518547277434336,2
address_completeness,2.4190340864660542,2.4190340864660542,0.0483356757834321,3
fresh,2.1735846871090065,2.1735846871090065,0.04343125436376853,4
ohe_primary_category__pizza_restaurant,-1.4468725703283432,1.4468725703283432,0.028910532452025142,5
ohe_primary_category__discount_store,-1.3459749360656679,1.3459749360656679,0.026894456959612102,6
completeness_score,-1.2429950075044451,1.2429950075044451,0.02483677432215576,7
ohe_primary_category__mobile_phone_store,-1.2215286060094688,1.2215286060094688,0.024407845673029543,8
ohe_geo_cluster__CL_41.9_-87.6,-1.187182056026641,1.187182056026641,0.023721553688332987,9
ohe_primary_category__coffee_shop,-1.1784652494565957,1.1784652494565957,0.023547379732457845,10
ohe_primary_category__holiday_rental_home,-1.1165513288105817,1.1165513288105817,0.02231025322333998,11
ohe_primary_category__printing_services,0.9290778412782285,0.9290778412782285,0.018564271402723626,12
ohe_source_dataset__meta,-0.9099396583695889,0.9099396583695889,0.018181863808993753,13
ohe_primary_category__restaurant,-0.8568138179537749,0.8568138179537749,0.017120335402913075,14
ohe_primary_category__professional_services,-0.8513668328285846,0.8513668328285846,0.017011497041154806,15
ohe_primary_category__american_restaurant,-0.8190259390217312,0.8190259390217312,0.01636528086489655,16
ohe_primary_category__lawyer,0.7804714518925805,0.7804714518925805,0.01559490842562531,17
ohe_primary_category__funeral_services_and_cemeteries,0.7753054443049825,0.7753054443049825,0.01549168438705309,18
num_socials,-0.725763377140663,0.725763377140663,0.014501764770172499,19
socials_present,-0.725763377140663,0.725763377140663,0.014501764770172499,20
has_socials,-0.7257633770590426,0.7257633770590426,0.014501764768541611,21
ohe_geo_cluster__CL_42.4_-71.1,-0.6297802873193334,0.6297802873193334,0.012583888731859416,22
has_alternate_categories,0.5676526862595375,0.5676526862595375,0.011342492589973819,23
single_source,-0.5597597335225117,0.5597597335225117,0.01118478038302093,24
ohe_primary_category__hardware_store,0.5172719567114061,0.5172719567114061,0.010335815328667097,25
ohe_primary_category__resort,-0.5149390076580408,0.5149390076580408,0.010289199751940162,26
ohe_primary_category__self_storage_facility,0.50834107338121,0.50834107338121,0.010157363820470843,27
recent_with_contacts,0.5059061922653928,0.5059061922653928,0.010108711498933167,28
ohe_primary_category__flowers_and_gifts_shop,-0.5040462390971507,0.5040462390971507,0.010071547039856093,29
num_addresses,-0.5004401595400754,0.5004401595400754,0.009999492539551513,30
addresses_present,-0.5004401595400736,0.5004401595400736,0.009999492539551477,31
has_name,-0.5004401595400736,0.5004401595400736,0.009999492539551477,32
has_addresses,-0.5004401595400736,0.5004401595400736,0.009999492539551477,33
has_primary_category,-0.5004401595400736,0.5004401595400736,0.009999492539551477,34
ohe_geo_cluster__CL_38.9_-77.0,-0.47282664874466357,0.47282664874466357,0.009447736070919355,35
ohe_source_dataset__Microsoft,0.46881907285793734,0.46881907285793734,0.00936765911383055,36
ohe_geo_cluster__CL_34.0_-118.3,-0.44800352117574177,0.44800352117574177,0.008951735351948495,37
num_datasets,-0.4411205854949983,0.4411205854949983,0.008814204694830447,38
sources_n,-0.4411205854949983,0.4411205854949983,0.008814204694830447,39
num_sources,-0.4411205854949983,0.4411205854949983,0.008814204694830447,40
ohe_primary_category__day_care_preschool,0.43067549193159993,0.43067549193159993,0.008605497153736805,41
has_phones,0.4254896108437479,0.4254896108437479,0.008501876014904472,42
num_phones,0.4254896107942217,0.4254896107942217,0.008501876013914868,43
phones_present,0.4254896107942217,0.4254896107942217,0.008501876013914868,44
single_source_no_socials,0.409499498846987,0.409499498846987,0.008182371269791384,45
brand_with_contacts,0.40109497538388494,0.40109497538388494,0.008014437166051566,46
ohe_primary_category__mexican_restaurant,-0.39303569447647996,0.39303569447647996,0.007853401490214098,47
num_websites,0.3908947528246469,0.3908947528246469,0.007810622489234651,48
websites_present,0.3908947528246469,0.3908947528246469,0.007810622489234651,49
has_websites,0.3908947528246467,0.3908947528246467,0.007810622489234646,50
ohe_primary_category__convenience_store,0.3399718583182159,0.3399718583182159,0.006793112015699906,51
ohe_geo_cluster__CL_36.1_-115.2,-0.3344187757653645,0.3344187757653645,0.006682153679323018,52
has_full_contact_info,0.32671114491501396,0.32671114491501396,0.006528144462203972,53
has_short_name,0.3095978784015831,0.3095978784015831,0.006186197522962168,54
very_fresh,-0.29279755667086294,0.29279755667086294,0.005850503657060608,55
ohe_primary_category__fast_food_restaurant,0.29033959249046926,0.29033959249046926,0.005801390103690071,56
ohe_primary_category__campground,-0.2765680767955504,0.2765680767955504,0.005526216007797733,57
ohe_primary_category__accommodation,-0.2654157287096682,0.2654157287096682,0.0053033765346712156,58
rich_profile,0.26435000119518737,0.26435000119518737,0.005282081812161256,59
ohe_geo_cluster__CL_34.1_-118.3,0.2481701778240978,0.2481701778240978,0.004958786369127342,60
ohe_primary_category__event_planning,0.24305426911799463,0.24305426911799463,0.0048565633760991244,61
stale,-0.23606470113940403,0.23606470113940403,0.004716902056909956,62
ohe_geo_cluster__CL_25.8_-80.1,0.2105582128429925,0.2105582128429925,0.0042072468372638585,63
ohe_geo_cluster__CL_34.2_-118.4,0.20518837533788967,0.20518837533788967,0.004099949992581713,64
has_chain_pattern,0.20424493636686125,0.20424493636686125,0.004081098765771717,65
ohe_geo_cluster__CL_40.7_-73.8,0.19386124997352336,0.19386124997352336,0.003873618225603537,66
ohe_geo_cluster__CL_36.8_-119.8,0.18534457956216505,0.18534457956216505,0.003703443269384068,67
ohe_geo_cluster__CL_40.4_-80.0,0.18438996267758861,0.18438996267758861,0.0036843686922673454,68
ohe_geo_cluster__CL_33.2_-117.3,0.18295842046968547,0.18295842046968547,0.003655764481843593,69
ohe_geo_cluster__CL_39.3_-76.6,0.18142806086392846,0.18142806086392846,0.003625185761952963,70
ohe_geo_cluster__CL_40.0_-75.2,0.17186783149805712,0.17186783149805712,0.0034341590419785114,71
very_stale,0.1691940351282707,0.1691940351282707,0.0033807328603616496,72
ohe_geo_cluster__CL_39.7_-105.0,0.16851275327548723,0.16851275327548723,0.003367119898503231,73
ohe_geo_cluster__CL_34.1_-118.4,0.167959328913615,0.167959328913615,0.0033560617076841062,74
has_brand,0.1677044844000914,0.1677044844000914,0.0033509695587764987,75
ohe_geo_cluster__CL_42.0_-87.8,0.16008462281814254,0.16008462281814254,0.0031987140940848984,76
ohe_geo_cluster__CL_30.3_-97.7,-0.15703739376001438,0.15703739376001438,0.0031378262063880735,77
ohe_geo_cluster__CL_37.8_-122.3,0.15482824645184623,0.15482824645184623,0.0030936843612429923,78
ohe_geo_cluster__CL_29.4_-98.5,0.15311624011590663,0.15311624011590663,0.0030594760862723623,79
ohe_geo_cluster__CL_43.0_-87.9,0.14844197660845165,0.14844197660845165,0.002966077780441651,80
ohe_geo_cluster__CL_29.7_-95.4,0.1474607167739525,0.1474607167739525,0.002946470840016539,81
ohe_geo_cluster__CL_34.2_-119.2,0.14513020658312178,0.14513020658312178,0.002899903995165443,82
ohe_primary_category__bar,0.13385917525797952,0.13385917525797952,0.002674693065346398,83
ohe_geo_cluster__CL_32.8_-96.8,-0.11655591686218333,0.11655591686218333,0.002328949823241864,84
ohe_geo_cluster__CL_37.8_-122.4,-0.10848891750103105,0.10848891750103105,0.0021677599219306976,85
multiple_sources_with_contacts,0.0985984281359505,0.0985984281359505,0.0019701341464343236,86
multi_dataset_with_contacts,0.0985984281359505,0.0985984281359505,0.0019701341464343236,87
contact_diversity,0.09062098661420623,0.09062098661420623,0.001810733735694501,88
ohe_geo_cluster__CL_34.0_-118.2,-0.08143733781126122,0.08143733781126122,0.0016272316207257363,89
ohe_primary_category__shopping,0.0712962966000372,0.0712962966000372,0.001424599469804606,90
ohe_primary_category__hotel,0.0671509814279104,0.0671509814279104,0.0013417702896367579,91
ohe_geo_cluster__CL_41.8_-87.7,-0.06235180298655488,0.06235180298655488,0.001245876009160916,92
has_multiple_sources,0.05931957401026252,0.05931957401026252,0.0011852878440254215,93
has_multiple_datasets,0.05931957401026252,0.05931957401026252,0.0011852878440254215,94
has_long_name,0.051715173787289015,0.051715173787289015,0.001033341318855916,95
ohe_geo_cluster__CL_40.8_-74.0,0.050199456027278835,0.050199456027278835,0.0010030551634697916,96
num_categories,-0.043384357304839194,0.043384357304839194,0.0008668799834163512,97
ohe_geo_cluster__CL_40.7_-74.0,0.04233060955915401,0.04233060955915401,0.0008458246333996138,98
ohe_geo_cluster__CL_47.6_-122.3,0.02282080476622852,0.02282080476622852,0.00045599151598102244,99
max_update_time,0.018058030876522514,0.018058030876522514,0.0003608246492342459,100
name_length,0.004221199303187692,0.004221199303187692,8.434545097055744e-05,101
recency_days,0.001154098415533697,0.001154098415533697,2.3060496397098735e-05,102
geo_cluster_id,7.675501176076271e-05,7.675501176076271e-05,1.5336722140371568e-06,103
has_many_sources,0.0,0.0,0.0,104
has_multiple_phones,0.0,0.0,0.0,105
has_multiple_socials,0.0,0.0,0.0,106
source_temporal_diversity,0.0,0.0,0.0,107
has_multiple_websites,0.0,0.0,0.0,108
has_multiple_addresses,0.0,0.0,0.0,109
