feature,importance,importance_norm,rank
spatial_cluster_closed_rate,0.4929828639032095,0.4929828639032094,1
category_closure_risk,0.14366171827466392,0.1436617182746639,2
name_length,0.03912758689645333,0.03912758689645332,3
geo_cluster_id,0.036913346465644925,0.03691334646564492,4
address_completeness,0.03391441710022255,0.03391441710022254,5
max_update_time,0.024836150947465406,0.0248361509474654,6
recency_days,0.02313815221273724,0.023138152212737236,7
num_categories,0.013121669141781497,0.013121669141781494,8
num_phones,0.008693849487627579,0.008693849487627577,9
recent_with_contacts,0.008606146876644781,0.00860614687664478,10
completeness_score,0.008578936678697526,0.008578936678697524,11
has_long_name,0.00842333486136033,0.008423334861360328,12
has_phones,0.008088031314564405,0.008088031314564403,13
contact_diversity,0.005385231033687927,0.0053852310336879265,14
phones_present,0.005267576617135908,0.005267576617135907,15
fresh,0.005215086057241247,0.005215086057241246,16
rich_profile,0.005103655119765577,0.005103655119765576,17
stale,0.004761805388473728,0.004761805388473727,18
ohe_primary_category__hotel,0.00440942891361748,0.004409428913617479,19
has_full_contact_info,0.004409113739604472,0.0044091137396044715,20
ohe_primary_category__coffee_shop,0.0037398115658564767,0.003739811565856476,21
ohe_source_dataset__meta,0.003445882326170904,0.003445882326170903,22
very_stale,0.003421725008031858,0.0034217250080318573,23
has_websites,0.0033973642204272545,0.0033973642204272536,24
ohe_source_dataset__Microsoft,0.0033477460955631203,0.0033477460955631195,25
has_multiple_datasets,0.0031786169149515073,0.0031786169149515065,26
ohe_primary_category__discount_store,0.0031555880090754925,0.0031555880090754916,27
num_socials,0.0031166308838895753,0.0031166308838895744,28
ohe_primary_category__restaurant,0.0030760286585117523,0.0030760286585117514,29
ohe_primary_category__pizza_restaurant,0.003030667341980324,0.0030306673419803233,30
has_alternate_categories,0.0029491441762862568,0.002949144176286256,31
ohe_primary_category__fast_food_restaurant,0.0028544870417983193,0.002854487041798319,32
single_source,0.0027752217081658185,0.002775221708165818,33
very_fresh,0.0027537605021337617,0.0027537605021337613,34
ohe_geo_cluster__CL_41.9_-87.6,0.0026696330983189834,0.002669633098318983,35
ohe_primary_category__accommodation,0.0026244759088830958,0.0026244759088830953,36
has_multiple_sources,0.0026147665949601225,0.002614766594960122,37
ohe_primary_category__mobile_phone_store,0.002561894852531985,0.0025618948525319846,38
has_chain_pattern,0.0025487873204392392,0.002548787320439239,39
multi_dataset_with_contacts,0.0025405669251688423,0.002540566925168842,40
ohe_primary_category__professional_services,0.002490286799499293,0.0024902867994992927,41
multiple_sources_with_contacts,0.0024332201260846642,0.002433220126084664,42
num_websites,0.002251043542467879,0.0022510435424678787,43
ohe_primary_category__resort,0.002041280866860879,0.0020412808668608786,44
ohe_primary_category__convenience_store,0.002001256147557017,0.0020012561475570164,45
has_socials,0.001993131143263091,0.0019931311432630906,46
has_brand,0.0019838749396020954,0.001983874939602095,47
sources_n,0.0019532338379840467,0.0019532338379840463,48
ohe_geo_cluster__CL_42.4_-71.1,0.0019489651349156828,0.0019489651349156823,49
socials_present,0.0018162372871878974,0.001816237287187897,50
ohe_geo_cluster__CL_38.9_-77.0,0.0017504886982129923,0.001750488698212992,51
ohe_primary_category__campground,0.0016351200902502928,0.0016351200902502924,52
websites_present,0.001632304594977096,0.0016323045949770956,53
ohe_primary_category__mexican_restaurant,0.0015993678305031172,0.0015993678305031168,54
brand_with_contacts,0.0015782371513730156,0.0015782371513730152,55
ohe_primary_category__lawyer,0.0015124002461941906,0.0015124002461941902,56
ohe_primary_category__event_planning,0.0014716849195907772,0.0014716849195907768,57
num_datasets,0.001423297545544467,0.0014232975455444668,58
num_sources,0.0013921792227497957,0.0013921792227497955,59
ohe_primary_category__shopping,0.001268173142424173,0.0012681731424241728,60
ohe_geo_cluster__CL_36.1_-115.2,0.0012623392898693108,0.0012623392898693105,61
single_source_no_socials,0.0012561770572836542,0.001256177057283654,62
has_short_name,0.0012057696476776025,0.0012057696476776023,63
ohe_geo_cluster__CL_37.8_-122.4,0.0010808737951787809,0.0010808737951787807,64
ohe_geo_cluster__CL_34.0_-118.3,0.0010773402218606928,0.0010773402218606926,65
ohe_geo_cluster__CL_40.7_-74.0,0.0010145258517320374,0.0010145258517320372,66
ohe_primary_category__self_storage_facility,0.0009856935277091146,0.0009856935277091144,67
ohe_geo_cluster__CL_30.3_-97.7,0.0009482707114580728,0.0009482707114580725,68
ohe_primary_category__flowers_and_gifts_shop,0.0008983046337441923,0.000898304633744192,69
ohe_primary_category__holiday_rental_home,0.0008952611572514778,0.0008952611572514776,70
ohe_primary_category__funeral_services_and_cemeteries,0.0008433613684414435,0.0008433613684414433,71
ohe_primary_category__american_restaurant,0.0008347875657105084,0.0008347875657105082,72
ohe_primary_category__hardware_store,0.0008271464077153837,0.0008271464077153834,73
ohe_geo_cluster__CL_40.8_-74.0,0.0008138874575487666,0.0008138874575487664,74
ohe_primary_category__printing_services,0.0008119226219030829,0.0008119226219030827,75
ohe_primary_category__day_care_preschool,0.0007928578505337389,0.0007928578505337387,76
ohe_primary_category__bar,0.0007544347645617193,0.0007544347645617191,77
ohe_geo_cluster__CL_47.6_-122.3,0.0004884587286010692,0.0004884587286010691,78
ohe_geo_cluster__CL_32.8_-96.8,0.0004033810126359343,0.0004033810126359342,79
ohe_geo_cluster__CL_25.8_-80.1,0.0003530111908349955,0.00035301119083499546,80
ohe_geo_cluster__CL_34.0_-118.2,0.00033660699869577173,0.0003366069986957717,81
ohe_geo_cluster__CL_34.1_-118.3,0.0002496701756725776,0.00024967017567257757,82
ohe_geo_cluster__CL_33.2_-117.3,0.00021235744958478752,0.00021235744958478746,83
ohe_geo_cluster__CL_41.8_-87.7,0.0001804168958255899,0.00018041689582558987,84
ohe_geo_cluster__CL_34.2_-119.2,0.00012223277132790162,0.0001222327713279016,85
ohe_geo_cluster__CL_37.8_-122.3,0.00012039559833500775,0.00012039559833500772,86
ohe_geo_cluster__CL_34.1_-118.4,8.161354118210911e-05,8.16135411821091e-05,87
ohe_geo_cluster__CL_39.3_-76.6,7.782163265139602e-05,7.7821632651396e-05,88
ohe_geo_cluster__CL_39.7_-105.0,7.348569092723737e-05,7.348569092723736e-05,89
ohe_geo_cluster__CL_40.7_-73.8,6.730313317011886e-05,6.730313317011884e-05,90
ohe_geo_cluster__CL_34.2_-118.4,6.400830343974137e-05,6.400830343974135e-05,91
ohe_geo_cluster__CL_29.4_-98.5,5.622678869884232e-05,5.6226788698842306e-05,92
ohe_geo_cluster__CL_42.0_-87.8,5.209201866221868e-05,5.2092018662218664e-05,93
ohe_geo_cluster__CL_40.4_-80.0,4.046624330359527e-05,4.046624330359526e-05,94
ohe_geo_cluster__CL_43.0_-87.9,2.8599579090275205e-05,2.85995790902752e-05,95
ohe_geo_cluster__CL_36.8_-119.8,2.4985478917835377e-05,2.498547891783537e-05,96
ohe_geo_cluster__CL_40.0_-75.2,2.4285974047042915e-05,2.428597404704291e-05,97
ohe_geo_cluster__CL_29.7_-95.4,2.294341323007487e-05,2.2943413230074864e-05,98
num_addresses,0.0,0.0,99
has_primary_category,0.0,0.0,100
has_name,0.0,0.0,101
has_multiple_websites,0.0,0.0,102
has_multiple_socials,0.0,0.0,103
source_temporal_diversity,0.0,0.0,104
has_multiple_phones,0.0,0.0,105
has_multiple_addresses,0.0,0.0,106
has_many_sources,0.0,0.0,107
has_addresses,0.0,0.0,108
addresses_present,0.0,0.0,109
